ALG6 NG_008925
ALG8 NG_008926
ALG9 NG_009210
ALK NG_009445
ALMS1 NG_011690
ALOX12B NG_007099
ALOX15B NG_029482
ALOX5 NG_011437
ALOX5AP NG_011963
ALOXE3 NG_015807
ALPL NG_008940
ALPP NG_012189
ALS2 NG_008775
ALX1 NG_023202
ALX3 NG_012039
ALX4 NG_015809
AMACR NG_016211
AMBN NG_042078
AMELX NG_012040
AMELY NG_008011
AMER1 NG_021345
AMFR NG_047034
AMH NG_012190
AMHR2 NG_015981
AMMECR1 NG_016469
AMN NG_008276
AMOT NG_012628
AMPD1 NG_008012
AMPD2 NG_034075
AMPD3 NG_012041
AMT NG_015986
AMZ2 NG_051827
ANG NG_008717
ANGPT1 NG_029405
ANGPT2 NG_029483
ANGPTL3 NG_028169
ANGPTL4 NG_012169
ANK1 NG_012820
ANK2 NG_009006
ANK3 NG_029917
ANKH NG_008273
ANKK1 NG_012976
ANKLE2 NG_034022
ANKRD1 NG_023227
ANKRD11 NG_032003
ANKRD12 NG_047134
ANKRD13D NG_052619
ANKRD2 NG_034079
ANKRD26 NG_031973
ANKRD30A NG_051556
ANKS1B NG_029860
ANKS6 NG_042237
ANLN NG_041770
ANO10 NG_028216
ANO3 NG_042856
ANO5 NG_015844
ANO6 NG_028220
ANO7 NG_029845
ANO9 NG_052610
ANOS1 NG_007088
ANTXR1 NG_012649
ANTXR2 NG_015987
ANXA5 NG_032042
AP1G2 NG_011937
AP1S1 NG_033082
AP1S2 NG_009274
AP1S3 NG_034017
AP2S1 NG_033136
AP3B1 NG_007268
AP3B2 NG_052957
AP3D1 NG_052886
AP4B1 NG_031901
AP4E1 NG_031875
AP4M1 NG_016312
AP4S1 NG_031913
AP5Z1 NG_028111
APAF1 NG_029094
APBB1 NG_029615
APBB2 NG_013337
APC NG_008481
APCDD1 NG_027685
APEH NG_011438
APEX1 NG_008718
APEX2 NG_012568
APH1A NG_029952
API5 NG_029841
APLN NG_016718
APLP2 NG_029770
APOA1 NG_012021
APOA2 NG_012043
APOA4 NG_012044
APOA5 NG_015894
APOB NG_011793
APOC1 NG_012859
APOC2 NG_008837
APOC3 NG_008949
APOE NG_007084
APOH NG_012045
APOL1 NG_023228
APOL2 NG_023229
APOL4 NG_023437
APOO NG_013219
APOOL NG_021245
APOPT1 NG_041786
APP NG_007376
APPL1 NG_047003
APPL2 NG_030419
APRT NG_008013
APTX NG_012821
AQP1 NG_007475
AQP2 NG_008913
AQP3 NG_007476
AQP4 NG_029560
AQP5 NG_033883
AQP7 NG_027764
AQP9 NG_011975
AR NG_009014
ARAF NG_016339
ARAP3 NG_046966
ARCN1 NG_051953
ARFGEF2 NG_011490
ARG1 NG_007086
ARG2 NG_011964
ARHGAP11A NG_051557
ARHGAP20 NG_051657
ARHGAP24 NG_051627
ARHGAP26 NG_016711
ARHGAP29 NG_050965
ARHGAP31 NG_007665
ARHGAP35 NG_047014
ARHGAP4 NG_013220
ARHGAP6 NG_012494
ARHGAP9 NG_023205
ARHGDIA NG_034210
ARHGEF10 NG_008480
ARHGEF10L NG_050860
ARHGEF12 NG_027960
ARHGEF15 NG_034063
ARHGEF18 NG_047135
ARHGEF26 NG_030405
ARHGEF28 NG_017198
ARHGEF40 NG_034001
ARHGEF6 NG_008873
ARHGEF9 NG_016975
ARID1A NG_029965
ARID1B NG_032093
ARID2 NG_052800
ARID4A NG_052999
ARID4B NG_029484
ARID5B NG_030027
ARL11 NG_021342
ARL13B NG_017076
ARL14EP NG_034234
ARL16 NG_051248
ARL2BP NG_033905
ARL6 NG_008119
ARL6IP1 NG_042860
ARMC10 NG_030014
ARMC12 NG_052798
ARMC4 NG_042820
ARMC5 NG_034258
ARMCX1 NG_015846
ARMCX2 NG_013221
ARMCX3 NG_013222
ARMCX4 NG_017196
ARMCX5 NG_016347
ARMCX6 NG_021313
ARMS2 NG_011725
ARNT NG_028248
ARNTL2 NG_030359
ARPP21 NG_050660
ARR3 NG_050734
ARRB1 NG_028118
ARRDC3 NG_051241
ARSA NG_009260
ARSB NG_007089
ARSD NG_012495
ARSE NG_007091
ARSF NG_012822
ARSG NG_032814
ARSI NG_051250
ART4 NG_007477
ARV1 NG_052022
ARVCF NG_023326
ARX NG_008281
ASAH1 NG_008985
ASAP1 NG_030354
ASB10 NG_017016
ASB11 NG_012627
ASB12 NG_012823
ASB15 NG_034019
ASB18 NG_053045
ASB9 NG_016218
ASCC1 NG_031890
ASCL1 NG_008950
ASGR2 NG_029064
ASIC2 NG_029763
ASIP NG_011439
ASL NG_009288
ASMT NG_016337
ASMTL NG_016772
ASMTL-AS1 NG_030331
ASNA1 NG_051267
ASNS NG_033870
ASPA NG_008399
ASPH NG_013210
ASPM NG_015867
ASPN NG_023430
ASPSCR1 NG_030375
ASS1 NG_011542
ASTN2 NG_021409
ASXL1 NG_027868
ASXL2 NG_052995
ATAD2B NG_029017
ATAD3A NG_053035
ATCAY NG_012638
ATF1 NG_027673
ATF2 NG_047045
ATF3 NG_029871
ATF6 NG_029773
ATF6B NG_033940
ATG13 NG_051811
ATG16L1 NG_023038
ATG2B NG_051091
ATG9B NG_030317
ATIC NG_013002
ATL1 NG_009028
ATL3 NG_033985
ATM NG_009830
ATN1 NG_008047
ATOH7 NG_031934
ATP10A NG_009282
ATP11C NG_016550
ATP13A2 NG_009054
ATP1A1 NG_047036
ATP1A2 NG_008014
ATP1A3 NG_008015
ATP1B1 NG_023230
ATP1B4 NG_016773
ATP2A1 NG_023327
ATP2A2 NG_007097
ATP2A3 NG_029041
ATP2B1 NG_029485
ATP2B2 NG_012046
ATP2B3 NG_015896
ATP2B4 NG_029589
ATP2C1 NG_007379
ATP5A1 NG_041769
ATP5E NG_031871
ATP6AP1 NG_052807
